Time In Seconds,Number of Instances
1,3521
2,1849
3,2223
4,1617
5,1823
6,1714
7,1267
8,1906
9,1597
10,2170
11,2287
12,1832
13,2615
14,2207
15,3114
16,58919
17,2983
18,4408
19,3649
20,5243
21,5864
22,4679
23,7041
24,5457
25,8029
26,8890
27,6834
28,9914
29,8112
30,11188
31,12122
32,9528
33,190312
34,10333
35,14721
36,15347
37,11848
38,16682
39,12944
40,17812
41,18475
42,14459
43,19878
44,15489
45,21424
46,22059
47,16770
48,23180
49,17937
50,354006
51,25235
52,19492
53,26123
54,20239
55,27321
56,27703
57,21295
58,28741
59,22144
60,29942
